;Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison;Pic_O3;Pic_J45;Pic_J182
134;ref;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2019;hiver;1;1;1
135;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
136;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;0;1;1
137;bi;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;sup a la moy;2019;hiver;0;0;1
138;bio;triticale;triticale;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;0;1;1
139;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;0
140;ref;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;sup a la moy;2019;hiver;0;1;1
141;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;0;1;1
142;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
143;bi;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
144;bio;triticale;triticale;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
145;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;0
146;ref;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
147;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;printemps;1;1;1
148;pn;ble;ble;False;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
149;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;1;1
150;bio;triticale;triticale;False;0.0;1.0;moyenne;absence;2019;printemps;0;1;1
151;elev;escourgeon;escourgeon;False;0.0;0.0;moyenne;absence;2019;printemps;0;0;0
152;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;0;1
153;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;printemps;0;0;0
154;pn;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;0;0
155;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;0;0;0
156;bio;triticale;triticale;False;0.0;0.0;moyenne;inf a la moy;2019;printemps;0;0;0
157;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;0
158;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;0;0;0
159;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;printemps;1;0;0
160;pn;ble;ble;False;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
161;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
162;bio;triticale;triticale;False;0.0;0.0;moyenne;absence;2019;printemps;1;0;0
163;elev;escourgeon;escourgeon;False;1.0;1.0;moyenne;absence;2019;printemps;0;0;0
164;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
165;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
166;pn;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
167;bi;orge_de_printemps;orge_de_printemps;True;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
168;bio;triticale;triticale;False;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
169;elev;escourgeon;escourgeon;False;1.0;1.0;moyenne;sup a la moy;2019;printemps;0;0;0
170;ref;orge_de_printemps;orge_de_printemps;True;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
171;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;inf a la moy;2019;printemps;1;0;0
172;pn;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;1
173;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;1
174;bio;triticale;triticale;False;0.0;0.0;moyenne;inf a la moy;2019;printemps;1;0;0
175;elev;escourgeon;escourgeon;False;1.0;1.0;moyenne;inf a la moy;2019;printemps;1;0;0
176;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;1
177;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
178;pn;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2019;printemps;0;1;1
179;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;sup a la moy;2019;printemps;0;0;0
180;bio;triticale;triticale;False;0.0;0.0;moyenne;sup a la moy;2019;printemps;1;1;1
181;elev;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
182;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;sup a la moy;2019;printemps;0;0;0
183;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
184;pn;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2019;printemps;1;1;1
185;bi;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;printemps;1;0;0
186;bio;triticale;triticale;False;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;1;0
187;elev;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;1;1;0
188;ref;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;printemps;1;1;1
189;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;absence;2019;printemps;1;1;0
190;pn;ble;ble;False;1.0;0.0;moyenne;absence;2019;printemps;0;0;1
191;bi;orge_de_printemps;orge_de_printemps;False;1.0;0.0;moyenne;absence;2019;printemps;1;1;0
192;bio;triticale;triticale;False;0.0;0.0;moyenne;absence;2019;printemps;0;1;0
193;elev;escourgeon;escourgeon;False;1.0;0.0;moyenne;absence;2019;printemps;0;0;0
194;ref;orge_de_printemps;orge_de_printemps;False;1.0;0.0;moyenne;absence;2019;printemps;1;0;0
195;acs;escourgeon;escourgeon;False;0.0;0.0;moyenne;absence;2019;printemps;0;0;0
196;pn;ble;ble;False;0.0;0.0;moyenne;absence;2019;printemps;0;0;1
197;bi;orge_de_printemps;orge_de_printemps;False;1.0;0.0;moyenne;absence;2019;printemps;0;0;0
198;bio;triticale;triticale;False;0.0;0.0;moyenne;absence;2019;printemps;0;1;1
